Direction,Pitch,Roll,Yaw
90,41.94581045,288.6772727,108.7778249
90,41.4014512,327.3307817,114.2644544
90,24.95741048,331.3663819,121.5992102
90,15.95673063,330.8872032,122.8048752
90,10.91025134,330.4898672,123.9445059
90,8.757912733,330.6141493,125.6023704
90,11.95386582,327.0921247,126.7310865
90,16.81788429,326.4834831,127.4027399
90,17.64849335,328.8160815,127.9318201
90,15.77027671,330.6735036,127.53515
90,15.33983477,331.4402794,126.7469188
90,14.14893921,333.0240244,126.3572839
90,13.2160899,333.5711397,125.7531673
90,12.65995626,334.1977788,124.7667514
90,11.97463472,334.6696783,123.9758565
90,10.90099045,335.3409612,123.2251094
90,10.402659,336.1282652,123.0118982
90,9.457797948,336.4953434,122.2846333
90,8.783718895,336.8243349,121.8220929
90,8.027456445,337.3159155,121.3973508
90,7.176637709,337.5917356,120.8381632
90,6.693267783,337.9613684,120.9279665
90,6.005388332,338.4391555,120.6061416
90,5.224905604,338.7833339,120.0982898
90,4.569557918,339.2768355,119.570521
90,4.233893394,340.0108042,119.1656684
90,3.726389421,340.0555249,118.5849657
180,3.275961284,340.1600968,117.9842096
180,2.698791943,340.5860103,117.5226664
180,2.936825956,342.2906702,117.2077674
180,19.91993936,351.1766814,112.8878093
180,19.42194514,1.487259498,113.7231619
180,25.68212258,7.269856131,109.0696106
180,27.46115463,12.35580538,106.090528
180,25.7990964,13.42970151,106.5340805
180,20.99341628,14.22878071,107.9886512
180,19.55824157,14.3976153,108.3258782
180,19.45590826,15.4981449,109.0406779
180,19.77106001,15.06343921,109.2241642
180,19.58198672,15.8731035,109.381279
180,19.31938473,16.34954505,109.7891028
180,19.54795189,14.88756526,110.0921719
180,18.56243584,14.05381431,110.2555227
180,18.13743415,13.68287357,110.9080039
180,17.45008148,14.3744251,110.9976501
180,17.11345561,15.46710169,111.0885462
180,16.70888472,16.47508051,111.4820061
180,16.86973397,17.01047684,112.0550795
180,16.62984748,18.07557825,112.4668579
180,16.50884385,19.75766431,112.5559919
180,16.04312569,20.94800577,112.9000627
180,16.07913103,22.29574894,113.2361968
