Direction,Pitch,Roll,Yaw
Top,35,24,-12
Top,35,24,-12
Top,32,5,-10
Top,27,-27,-12
Top,29,-30,-13
Top,30,-28,-14
Top,32,-25,-14
Top,32,-24,-14
Top,31,-24,-15
Top,30,-23,-15
Top,30,-22,-15
Top,30,-21,-14
Top,30,-22,-14
Top,30,-21,-14
Top,30,-21,-14
Top,29,-20,-14
Top,28,-21,-13
Top,28,-21,-13
Top,27,-21,-14
Top,26,-21,-14
Top,26,-22,-14
Top,26,-22,-14
Top,25,-23,-14
Top,24,-22,-14
Top,24,-23,-14
Top,23,-23,-14
Top,23,-23,-14
Top,23,-23,-14
Top,23,-23,-14
Top,22,-23,-14
Top,22,-23,-13
Top,21,-24,-13
Top,20,-24,-14
Top,20,-24,-14
Top,20,-24,-13
Top,19,-24,-13
Top,18,-24,-13
Top,18,-24,-13
Top,18,-25,-13
Top,18,-25,-13
Top,18,-25,-13
Top,18,-25,-13
Top,17,-26,-13
Top,17,-26,-13
Top,17,-26,-13
Top,16,-26,-13
Top,16,-26,-13
Top,16,-26,-13
Top,16,-26,-13
Right,15,-26,-13
Right,15,-26,-13
Right,15,-26,-13
Right,8,-14,-14
Right,-11,4,-14
Right,-20,13,-8
Right,-25,14,-7
Right,-25,14,-6
Right,-26,14,-6
Right,-27,14,-6
Right,-28,14,-6
Right,-28,15,-5
Right,-28,15,-5
Right,-28,16,-4
Right,-28,16,-4
Right,-28,16,-4
Right,-28,16,-3
Right,-28,16,-3
Right,-29,16,-3
Right,-28,16,-3
Right,-28,16,-3
Right,-28,16,-3
Right,-28,16,-2
Right,-28,17,-2
Right,-27,17,-2
Right,-27,17,-2
Right,-28,17,-2
Right,-28,17,-2
Right,-28,17,-1
Right,-28,17,-1
Right,-29,17,-1
Right,-29,17,-1
Right,-29,17,-1
Right,-28,17,-1
Right,-28,17,-1
Right,-28,17,-1
Right,-28,17,-1
Right,-28,17,-1
Right,-28,17,-1
Right,-29,17,-1
Right,-29,17,-1
Right,-29,16,-1
Right,-29,16,-1
Right,-29,17,-1
Right,-29,17,-1
Right,-30,16,-1
Right,-30,16,-1
Right,-30,16,-1
Right,-30,16,-1
Right,-30,16,-1
Bottom,-30,17,0
Bottom,-30,17,0
Bottom,-30,17,0
Bottom,-25,17,-1
Bottom,-3,15,-6
Bottom,7,17,-8
Bottom,13,33,-10
Bottom,11,41,-11
Bottom,8,47,-11
Bottom,8,48,-12
Bottom,8,49,-12
Bottom,8,49,-13
Bottom,8,49,-13
Bottom,8,49,-14
Bottom,7,50,-14
Bottom,8,49,-15
Bottom,7,50,-15
Bottom,7,50,-15
Bottom,7,50,-16
Bottom,7,51,-16
Bottom,7,51,-17
Bottom,7,51,-17
Bottom,7,52,-18
Bottom,7,52,-18
Bottom,6,52,-19
Bottom,6,52,-20
Bottom,6,52,-20
Bottom,6,52,-21
Bottom,6,52,-21
Bottom,6,52,-22
Bottom,6,52,-22
Bottom,6,52,-23
Bottom,6,53,-23
Bottom,6,53,-23
Bottom,6,53,-24
Bottom,5,53,-24
Bottom,5,53,-24
Bottom,5,53,-25
Bottom,5,53,-25
Bottom,5,53,-26
Bottom,5,53,-26
Bottom,5,53,-26
Bottom,5,53,-27
Bottom,5,53,-27
Bottom,5,53,-27
Bottom,5,53,-28
Bottom,5,54,-28
Bottom,5,54,-29
Bottom,5,54,-29
Bottom,5,54,-30
Left,5,54,-30
Left,6,54,-30
Left,7,49,-31
Left,19,35,-32
Left,31,22,-36
Left,35,16,-38
Left,41,12,-39
Left,42,13,-40
Left,41,13,-40
Left,40,13,-39
Left,40,11,-37
Left,39,11,-37
Left,40,11,-37
Left,40,11,-36
Left,40,11,-36
Left,40,11,-36
Left,40,10,-35
Left,39,11,-35
Left,39,11,-35
Left,39,10,-35
Left,39,11,-35
Left,39,11,-35
Left,39,11,-34
Left,39,11,-34
Left,39,11,-34
Left,39,11,-34
Left,39,10,-34
Left,39,10,-34
Left,39,10,-33
Left,39,10,-34
Left,39,10,-33
Left,39,10,-33
Left,39,10,-33
Left,39,10,-33
Left,39,10,-33
Left,39,10,-33
Left,39,10,-32
Left,38,10,-32
Left,38,10,-32
Left,38,10,-32
Left,38,9,-32
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Left,38,9,-31
Top,31,34,-28
Top,30,33,-28
Top,32,23,-27
Top,32,5,-24
Top,31,-7,-23
Top,31,-12,-24
Top,30,-14,-24
Top,29,-15,-24
Top,29,-16,-24
Top,29,-17,-24
Top,29,-17,-24
Top,28,-18,-24
Top,27,-18,-24
Top,26,-18,-24
Top,25,-19,-24
Top,25,-19,-24
Top,24,-19,-23
Top,24,-20,-23
Top,23,-20,-23
Top,23,-21,-22
Top,23,-20,-22
Top,22,-21,-22
Top,22,-21,-22
Top,21,-22,-22
Top,21,-22,-22
Top,21,-23,-22
Top,20,-23,-21
Top,20,-23,-21
Top,19,-24,-21
Top,19,-24,-21
Top,19,-24,-21
Top,19,-24,-21
Top,18,-24,-20
Top,18,-25,-20
Top,18,-25,-20
Top,17,-25,-20
Top,17,-25,-20
Top,17,-25,-20
Top,17,-25,-20
Top,16,-25,-20
Top,16,-26,-19
Top,16,-25,-19
Top,16,-26,-19
Top,15,-26,-19
Top,15,-26,-19
Top,15,-26,-19
Top,15,-26,-19
Top,15,-26,-19
Top,14,-26,-19
Top,14,-27,-19
Top,14,-27,-19
Top,14,-27,-19
Top,14,-27,-18
Top,14,-27,-18
Top,13,-27,-18
Top,13,-27,-18
Top,13,-27,-18
Top,13,-27,-18
Top,13,-27,-18
Top,13,-28,-18
Right,12,-28,-18
Right,12,-27,-18
Right,9,-11,-21
Right,-1,0,-22
Right,-13,11,-22
Right,-24,19,-16
